,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
40,11.94,2.07,2.1,-2.67,-15.81,-3.79,0.0,-3.49,1022.17,0.5,0.24,0.25,1.25,1.34,1.34,27.0,9.0,29.0,28.94,28.91,-5.32,889.72,-23.48,-8.0,-0.74,4.17,5.61,0.0,0.0,21.8,10.6,3.1,2.2,2.2,-0.3
41,11.15,2.33,2.3,-2.97,-16.89,-5.83,0.0,-5.81,1025.86,-3.78,0.2,0.29,1.05,1.24,1.24,17.5,9.07,28.03,30.44,31.55,-6.85,891.63,-20.97,-8.1,-2.14,1.85,3.17,0.78,0.0,25.5,8.8,2.1,0.9,1.0,-0.8
42,10.56,1.67,1.7,-2.48,-19.06,-5.13,0.0,-5.98,1027.73,-5.17,0.36,0.2,1.08,1.27,1.27,29.5,6.0,27.43,34.05,35.32,-6.38,892.64,-20.62,-5.85,-1.94,2.03,3.25,1.95,0.0,25.0,10.3,-0.7,-0.7,-0.6,-2.0
43,7.82,1.94,1.9,-1.65,-19.59,-5.89,0.0,-5.93,1028.05,-5.1,0.61,0.22,1.06,1.23,1.22,49.5,6.5,26.4,35.65,36.83,-7.64,893.14,-20.49,-6.17,-1.94,2.1,3.14,0.78,0.0,22.3,10.4,2.0,1.0,0.9,-1.0
44,7.21,1.34,1.3,-1.01,-19.64,-5.62,0.0,-6.01,1027.9,-5.6,0.69,0.25,0.99,1.1,1.1,50.0,8.14,25.42,33.75,34.38,-7.38,893.27,-19.16,-6.49,-1.85,2.5,3.55,6.02,0.0,19.3,9.9,2.4,1.3,1.2,-1.5
45,5.47,0.9,0.9,-0.78,-19.68,-3.48,0.0,-5.78,1028.89,-3.93,0.98,0.27,0.95,1.03,1.03,74.43,7.5,24.02,31.92,31.98,-4.12,893.99,-19.74,-5.96,-1.4,2.54,3.69,9.92,0.0,16.5,8.8,2.1,0.6,0.6,-0.9
46,6.74,1.22,1.2,1.45,-19.01,1.89,0.0,-3.48,1026.93,1.76,0.94,0.43,1.05,1.06,1.06,76.0,12.51,24.62,20.57,21.02,4.29,893.87,-20.34,-6.05,-0.5,4.35,5.77,9.84,0.0,16.7,8.9,3.5,2.0,2.0,6.4
47,8.17,2.22,2.2,1.04,-18.09,1.96,0.0,1.82,1024.07,2.69,1.1,2.06,1.18,1.21,1.2,100.0,63.0,26.0,22.34,23.07,3.16,891.85,-21.62,-6.39,0.15,4.76,6.2,9.92,0.0,17.7,10.5,4.1,2.1,2.2,8.2
48,7.57,1.45,1.5,-0.06,-15.0,-1.36,0.0,-1.16,1024.29,1.97,0.91,2.58,1.24,1.48,1.47,93.5,80.03,28.5,31.89,31.3,-3.62,891.66,-22.79,-6.61,0.23,4.51,5.91,9.14,0.0,14.6,10.5,3.8,1.1,1.3,2.7
49,5.07,1.11,1.1,-0.4,-15.37,-3.12,0.0,-3.09,1025.25,-1.38,1.05,2.53,1.37,1.51,1.51,100.25,81.0,30.5,37.68,36.86,-5.78,892.2,-22.76,-6.89,-0.03,4.54,5.94,4.61,0.0,16.2,10.9,2.9,1.0,1.1,0.4
50,0.0,1.5,1.5,-0.79,-11.88,-1.95,0.0,0.0,1018.78,0.0,0.5,1.17,1.85,1.83,1.83,53.5,43.5,42.5,44.5,44.5,-2.24,886.09,-23.27,-8.62,-0.11,3.99,5.16,8.05,0.0,8.3,6.4,4.5,1.4,1.4,-4.7
51,10.06,3.33,3.3,-0.27,-12.1,3.26,0.0,-1.95,1016.08,3.15,0.26,0.86,1.9,1.9,1.89,29.0,34.0,38.5,33.26,32.74,5.72,884.87,-23.5,-8.94,1.26,5.99,7.53,0.0,0.0,9.7,10.2,5.8,3.3,3.3,-0.1
52,10.21,3.26,3.3,-0.73,-12.82,3.92,0.0,3.26,1012.95,4.13,0.1,1.3,1.9,1.92,1.92,9.5,52.5,33.66,30.27,29.41,5.61,882.9,-23.57,-9.5,3.05,7.77,9.35,9.06,0.0,10.9,12.2,5.5,3.2,3.3,2.5
53,9.8,2.42,2.4,-0.42,-11.36,-0.93,0.0,-0.61,1013.3,3.91,0.62,1.6,1.94,2.01,2.01,75.0,63.0,36.19,39.43,38.97,-3.68,882.88,-24.5,-9.31,2.81,7.23,8.58,6.8,0.0,8.1,14.7,4.9,1.6,1.5,-1.2
54,9.33,2.41,2.4,-1.04,-11.17,-2.21,0.0,-2.16,1014.45,-0.93,0.61,1.7,1.96,2.0,2.0,77.0,70.0,38.0,46.0,46.5,-4.13,883.58,-24.9,-9.71,2.57,6.79,7.98,0.55,0.0,13.4,12.7,5.5,1.7,1.6,-2.7
55,11.14,2.92,2.9,-2.6,-10.12,-3.12,0.0,-3.28,1015.77,-2.21,0.03,1.84,2.08,2.0,1.99,3.5,75.26,43.5,47.5,48.5,-4.36,884.47,-23.5,-9.74,1.28,5.67,6.81,0.0,0.0,20.5,13.7,4.2,1.6,1.4,-2.9
56,11.17,2.75,2.8,-2.5,-9.92,-4.28,0.0,-4.2,1017.53,-3.08,0.05,1.38,2.15,2.13,2.13,5.03,60.56,51.5,55.0,55.5,-5.24,885.13,-22.65,-10.59,-0.59,3.85,4.97,0.0,0.0,21.5,15.5,4.4,1.9,1.6,-3.6
57,13.27,2.87,2.9,-3.54,-15.56,-5.57,0.0,-5.54,1019.45,-4.28,0.09,0.93,1.36,1.83,1.83,10.07,42.29,37.85,49.58,49.73,-6.46,885.87,-23.63,-11.0,-2.91,1.61,2.74,0.0,0.0,22.3,14.5,4.5,2.4,2.1,-4.0
58,14.37,3.08,3.1,-3.78,-15.2,-5.41,0.0,-6.3,1022.21,-5.53,0.07,0.69,1.33,1.47,1.47,7.5,30.4,41.19,43.01,44.15,-5.35,887.68,-23.72,-10.64,-4.04,0.11,1.44,0.0,0.0,19.3,11.6,4.6,2.0,1.8,-3.1
59,14.19,2.83,2.8,-3.48,-15.63,-1.04,0.0,-5.41,1021.43,-1.18,0.09,0.51,1.33,1.33,1.33,10.0,21.03,32.3,28.09,27.34,1.48,888.55,-24.11,-9.8,-1.47,3.26,4.78,0.0,0.0,16.9,10.8,4.6,3.1,3.0,2.3
60,13.18,2.66,2.7,-3.21,-16.94,0.19,0.0,-1.04,1020.18,0.22,0.16,0.46,1.2,1.2,1.2,18.65,18.5,26.19,22.19,22.24,2.08,888.27,-24.03,-9.42,0.16,5.12,6.61,0.0,0.0,19.3,10.2,4.0,2.8,2.8,4.9
61,11.94,1.87,1.9,-2.29,-17.07,-4.28,0.0,-3.91,1022.36,0.18,0.22,0.26,1.14,1.18,1.18,23.0,9.5,27.3,25.27,25.35,-6.03,889.73,-23.17,-8.28,-0.88,4.06,5.48,0.0,0.0,24.4,9.9,2.6,2.1,2.1,-0.3
62,9.41,2.25,2.3,-2.51,-17.39,-5.87,0.0,-5.89,1026.24,-4.28,0.22,0.29,1.05,1.19,1.19,18.5,10.0,26.8,31.65,32.77,-7.27,891.98,-20.79,-8.23,-1.72,2.01,3.35,1.09,0.0,24.8,8.7,2.1,1.0,1.1,-0.8
63,9.25,2.05,2.0,-1.71,-18.63,-5.58,0.0,-6.02,1027.79,-5.44,0.18,0.2,1.08,1.16,1.17,15.49,6.12,26.91,34.01,34.79,-7.43,892.69,-20.93,-5.84,-1.77,2.38,3.47,0.0,0.0,22.8,11.1,0.8,-0.1,0.0,-2.0
64,7.66,1.94,1.9,-1.71,-18.85,-6.07,0.0,-6.34,1027.92,-5.59,0.54,0.23,1.02,1.09,1.08,44.1,7.0,26.75,34.11,34.58,-7.64,893.16,-20.6,-6.17,-1.87,2.63,3.7,7.58,0.0,20.0,10.7,3.5,1.1,1.1,-1.0
65,7.65,1.48,1.5,-0.97,-18.65,-5.75,0.0,-6.08,1027.57,-5.53,0.86,0.32,1.07,1.05,1.05,65.83,10.0,27.09,37.52,36.75,-7.87,892.95,-19.8,-6.74,-1.45,2.68,3.79,8.36,0.0,18.4,10.7,4.2,1.2,1.3,-1.5
66,5.85,1.05,1.0,-0.41,-18.23,-3.21,0.0,-5.77,1028.5,-3.63,0.94,0.3,1.13,1.08,1.08,73.16,8.76,27.18,33.64,33.11,-3.95,894.03,-20.06,-6.22,-1.02,3.07,4.2,9.92,0.0,15.4,10.9,3.8,0.8,0.9,-0.9
67,8.55,2.15,2.2,1.79,-17.84,1.78,0.0,-3.21,1026.47,1.69,1.11,0.59,1.21,1.2,1.2,94.19,17.16,28.28,23.91,23.61,3.77,893.55,-20.86,-5.99,-0.52,4.19,5.6,9.92,0.0,16.1,10.7,4.6,2.5,2.6,6.4
68,8.99,2.1,2.1,0.43,-15.89,1.84,0.0,1.72,1024.1,2.02,1.15,2.15,1.3,1.3,1.3,100.0,66.52,28.5,25.03,25.03,2.9,891.8,-21.92,-6.56,0.11,4.84,6.24,9.92,0.0,18.8,11.9,3.7,1.8,1.9,8.2
69,6.95,1.39,1.4,-0.01,-14.18,-1.57,0.0,-1.28,1024.01,1.89,0.95,2.59,1.41,1.4,1.4,98.5,81.73,31.0,31.97,30.97,-4.06,891.45,-22.93,-6.79,0.29,4.52,5.9,9.77,0.0,15.9,11.9,4.0,1.3,1.5,2.7
70,5.7,1.28,1.3,-0.37,-13.92,-2.87,0.08,-2.87,1024.82,-1.57,0.57,2.13,1.52,1.43,1.43,59.0,72.71,33.57,37.63,36.13,-5.91,891.94,-23.07,-7.55,0.2,4.58,5.94,0.08,0.0,15.5,12.2,3.1,0.9,1.0,0.4
71,6.13,1.64,1.6,-0.63,-13.52,-3.07,3.05,-3.21,1025.44,-2.87,0.14,2.24,1.64,1.51,1.51,14.5,84.22,36.0,41.43,40.84,-6.02,892.1,-22.75,-8.66,0.33,4.73,6.01,3.28,0.0,15.1,10.5,4.2,1.1,1.3,1.6
72,7.24,2.08,2.1,-1.03,-12.83,-3.48,0.0,-3.49,1024.8,-3.07,0.2,1.61,1.69,1.56,1.56,22.03,58.71,38.01,44.89,42.83,-5.85,891.64,-23.27,-8.33,0.15,4.28,5.59,0.0,0.0,16.8,11.6,5.9,1.6,1.8,0.7
73,7.56,1.7,1.7,-1.37,-10.78,-4.23,0.0,-4.22,1024.23,-3.48,0.25,1.21,1.92,1.7,1.7,27.71,44.0,43.35,47.29,46.73,-6.08,891.05,-23.56,-8.51,0.23,4.53,5.77,0.0,0.0,15.9,13.3,4.7,1.3,1.5,0.5
74,7.13,1.97,2.0,-1.25,-9.46,-1.95,0.0,-4.31,1025.22,-2.36,0.15,1.11,2.19,1.89,1.89,16.0,38.5,47.26,46.81,47.16,-2.58,891.99,-23.23,-7.81,0.38,4.41,5.56,0.0,0.0,13.1,12.9,5.1,1.2,1.4,1.0
75,0.0,2.21,2.2,-0.93,-10.58,-2.65,0.0,0.0,1014.21,0.0,0.59,1.76,2.16,2.2,2.2,76.5,72.5,42.0,51.74,52.69,-4.94,883.42,-25.16,-9.81,2.65,6.83,8.04,1.33,0.0,14.4,13.4,5.4,1.5,1.5,-2.7
76,10.65,2.7,2.7,-2.48,-9.34,-2.75,0.0,-2.9,1015.57,-2.15,0.04,1.99,2.19,2.23,2.23,4.0,84.0,45.0,52.0,53.0,-4.07,884.42,-23.6,-10.01,1.66,6.1,7.3,0.0,0.0,20.6,14.1,3.9,1.4,1.2,-2.9
77,10.8,2.65,2.7,-2.13,-9.06,-3.85,0.0,-3.74,1017.16,-2.69,0.06,1.39,2.25,2.3,2.3,6.0,61.0,51.5,55.5,56.5,-4.94,885.22,-22.66,-10.48,0.08,4.5,5.67,0.0,0.0,21.9,15.3,4.7,1.8,1.5,-3.6
78,12.2,2.68,2.7,-3.15,-14.13,-5.19,0.0,-5.18,1019.03,-3.85,0.08,1.02,1.46,1.98,1.99,9.0,47.0,38.86,50.04,50.74,-6.07,885.95,-23.49,-11.04,-2.17,2.35,3.48,0.0,0.0,22.4,14.9,4.2,2.2,1.9,-4.0
